project_category,item_number,item_description,unit,labor_cost,material_cost,subcontract_cost,total_cost,specification
"Ceiling Latex Paint for Living Room, Dining Room, and Passage",1、,"Ceiling Latex Paint for Living Room, Dining Room, and Passage",M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Aluminum Composite Panel for Secondary Toilet Ceiling,2、,Aluminum Composite Panel for Secondary Toilet Ceiling,M2,80.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
Kitchen ceiling aluminum panel,3、,Kitchen ceiling aluminum panel,M2,80.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
Ceiling Latex Paint for Garden Balcony,4、,Ceiling Latex Paint for Garden Balcony,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Ceiling Latex Paint for Living Room Balcony,5、,Ceiling Latex Paint for Living Room Balcony,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Main bathroom ceiling aluminum panel,6、,Main bathroom ceiling aluminum panel,M2,80.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
Ceiling Latex Paint for Master Bedroom,7、,Ceiling Latex Paint for Master Bedroom,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Ceiling Latex Paint for the Secondary Bedroom,8、,Ceiling Latex Paint for the Secondary Bedroom,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Ceiling Latex Paint for Study Room,9、,Ceiling Latex Paint for Study Room,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Ceiling Latex Paint for the Cloakroom,10、,Ceiling Latex Paint for the Cloakroom,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
"Ceiling Paint for Living Room, Dining Room, and Passage Walls",1、,"Ceiling Paint for Living Room, Dining Room, and Passage Walls",M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Master bedroom wall latex paint,2、,Master bedroom wall latex paint,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Bedroom Wall Latex Paint,3、,Bedroom Wall Latex Paint,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Study Wall Latex Paint,4、,Study Wall Latex Paint,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Wall Latex Paint for the Cloakroom,5、,Wall Latex Paint for the Cloakroom,M2,16.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
Kitchen Wall Tile Adhesion,6、,Kitchen Wall Tile Adhesion,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Wall Tile Adhesive for Living Room Balcony,7、,Wall Tile Adhesive for Living Room Balcony,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Entrance garden balcony wall tile installation,8、,Entrance garden balcony wall tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Main bathroom wall tile installation,9、,Main bathroom wall tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
Secondary bathroom wall tile installation,10、,Secondary bathroom wall tile installation,M2,35.0,25.0,10.0,0.0,"Emei Cement 325#, medium sand, manual labor"
