section_id,section_name,step_number,item_name,step_description,unit_price,discount_rate,discounted_price,quantity,unit
1,Interior Design,,Interior Design,Preliminary Design,100.0,1.0,100.0,100.0,item
1,Interior Design,,Enclosed Balcony,,100.0,1.0,100.0,1.0,item
1,Interior Design,,Mason,"Wall building (living room, balcony), tile laying, stone processing, bathroom waterproofing",100.0,1.0,100.0,1.0,item
1,Interior Design,,Carpentry,Balcony Wall Cabinet,100.0,1.0,100.0,1.0,item
1,Interior Design,,Oil worker,Balcony Wall Cabinet,100.0,1.0,100.0,1.0,item
1,Interior Design,,Water and electricity,Water and electricity renovation,100.0,1.0,100.0,1.0,item
1,Interior Design,,Big White,,100.0,1.0,100.0,1.0,item
1,Interior Design,,Gas modification,,,1.0,0.0,1.0,item
2,Sliding Door for Wooden Door,5.0,Sliding Door for Wooden Door,Manufacturer's on-site measurement,,,,,
2,Wooden door,3.0,Wooden door,"bedroom doors (including door frames, hinges, and locks)",100.0,0.9,90.0,3.0,Boring
2,Wooden door,,Glass door,Two bathroom doors,100.0,0.9,90.0,2.0,Boring
2,Wooden door,,door frame molding,"Combined with sliding doors, entrance door frame",100.0,0.9,90.0,10.0,Linear meter
2,Wooden door,,Window Sill Trim,Window Molding (Excluding Sanitary Ware),100.0,1.0,100.0,8.0,Linear meter
2,Wooden door,,Sliding door,,100.0,1.0,100.0,1.0,Linear meter
2,Wooden door,,windowsill,Quartz Stone Countertop,100.0,1.0,100.0,18.0,Linear meter
3,Cabinets,6.0,Cabinets,First cabinet measurement,,,,,
3,Cabinets,,Cabinets,,1000.0,0.9,900.0,10.0,Linear meter
3,Cabinets,,Sink,,100.0,0.9,90.0,1.0,individual
3,Cabinets,,Tap,,100.0,0.9,90.0,1.0,individual
3,Cabinets,,Cubao,,100.0,0.9,90.0,1.0,Table
4,Hidden Works,,Water and electricity renovation,"Masonry (living area, balcony), tile laying, stone processing",100.0,1.0,100.0,10.0,
4,Hidden Works,,Bathroom Waterproofing,,100.0,1.0,100.0,1.0,
5,Water and electricity materials,9.0,Water and electricity materials,Main materials arrive on site,,,,,
5,Water and electricity materials,,Switch,"South Bedroom 2 North Bedroom 1 East Bedroom 1 Living Room 2 Corridor 1  
Dining Room 1 Kitchen 1 Master Bathroom 2 Guest Bathroom 2 Balcony 2  
Octagonal Room 1",12.0,1.0,12.0,16.0,
5,Water and electricity materials,,outlet,"South bedroom 6 North bedroom 4 East bedroom 4 Living room 7 Corridor 1
Dining room 2 Kitchen 8 Master bathroom 3 Guest bathroom 4
Balcony 2 Octagonal room 1",12.0,1.0,12.0,42.0,
5,Water and electricity materials,,Wiring pipe,,,1.0,0.0,1.0,
5,Water and electricity materials,,Electric materials,,,1.0,0.0,1.0,
5,Water and electricity materials,,Pipe materials and fittings,,,1.0,0.0,1.0,
5,Water and electricity materials,,Home Intelligent System,Gas alarm,,1.0,0.0,1.0,
6,Basic building materials,,Sand and cement,,100.0,1.0,100.0,1.0,
6,Basic building materials,,Brick,,100.0,1.0,100.0,1.0,
